Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,dc2-el3,Ethernet2,100.66.1.75/31,spine,dc2-sp2,Ethernet13,100.66.1.74/31
l3leaf,dc2-el3,Ethernet3,100.66.1.77/31,spine,dc2-sp3,Ethernet13,100.66.1.76/31
l3leaf,dc2-l1a,Ethernet1,100.66.1.1/31,spine,dc2-sp1,Ethernet1,100.66.1.0/31
l3leaf,dc2-l1a,Ethernet2,100.66.1.3/31,spine,dc2-sp2,Ethernet1,100.66.1.2/31
l3leaf,dc2-l1a,Ethernet3,100.66.1.5/31,spine,dc2-sp3,Ethernet1,100.66.1.4/31
l3leaf,dc2-l1b,Ethernet1,100.66.1.7/31,spine,dc2-sp1,Ethernet2,100.66.1.6/31
l3leaf,dc2-l1b,Ethernet2,100.66.1.9/31,spine,dc2-sp2,Ethernet2,100.66.1.8/31
l3leaf,dc2-l1b,Ethernet3,100.66.1.11/31,spine,dc2-sp3,Ethernet2,100.66.1.10/31
l3leaf,dc2-l2a,Ethernet1,100.66.1.13/31,spine,dc2-sp1,Ethernet3,100.66.1.12/31
l3leaf,dc2-l2a,Ethernet2,100.66.1.15/31,spine,dc2-sp2,Ethernet3,100.66.1.14/31
l3leaf,dc2-l2a,Ethernet3,100.66.1.17/31,spine,dc2-sp3,Ethernet3,100.66.1.16/31
l3leaf,dc2-l2b,Ethernet1,100.66.1.19/31,spine,dc2-sp1,Ethernet4,100.66.1.18/31
l3leaf,dc2-l2b,Ethernet2,100.66.1.21/31,spine,dc2-sp2,Ethernet4,100.66.1.20/31
l3leaf,dc2-l2b,Ethernet3,100.66.1.23/31,spine,dc2-sp3,Ethernet4,100.66.1.22/31
l3leaf,dc2-l3a,Ethernet1,100.66.1.25/31,spine,dc2-sp1,Ethernet5,100.66.1.24/31
l3leaf,dc2-l3a,Ethernet2,100.66.1.27/31,spine,dc2-sp2,Ethernet5,100.66.1.26/31
l3leaf,dc2-l3a,Ethernet3,100.66.1.29/31,spine,dc2-sp3,Ethernet5,100.66.1.28/31
